#,title,artist,top genre,year,bpm
269,Thinking out Loud,Ed Sheeran,pop,2015,79
270,I'm Not The Only One,Sam Smith,pop,2015,82
271,The Hills,The Weeknd,canadian contemporary r&b,2015,113
272,Love Yourself,Justin Bieber,canadian pop,2015,100
273,Uptown Funk,Mark Ronson,dance pop,2015,115
274,Take Me To Church,Hozier,irish singer-songwriter,2015,129
275,Sugar,Maroon 5,pop,2015,120
276,Sorry,Justin Bieber,canadian pop,2015,100
277,FourFiveSeconds,Rihanna,barbadian pop,2015,206
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120
280,What Do You Mean?,Justin Bieber,canadian pop,2015,125
281,Stitches,Shawn Mendes,canadian pop,2015,150
282,Want to Want Me,Jason Derulo,dance pop,2015,114
283,My House,Flo Rida,dance pop,2015,94
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120
285,Night Changes,One Direction,boy band,2015,120
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,122
287,Never Forget You,Zara Larsson,dance pop,2015,146
288,Love Me Harder,Ariana Grande,dance pop,2015,99
289,Animals,Maroon 5,pop,2015,190
290,Blame,Calvin Harris,dance pop,2015,128
291,Worth It,Fifth Harmony,dance pop,2015,100
292,Break Free,Ariana Grande,dance pop,2015,130
293,Don't,Ed Sheeran,pop,2015,95
294,Elastic Heart,Sia,australian dance,2015,130
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121
296,Hello,Adele,british soul,2015,158
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79
298,43776,Beyonc�,dance pop,2015,136
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176
302,Company,Justin Bieber,canadian pop,2015,95
303,Sing,Ed Sheeran,pop,2015,120
304,Jealous - Remix,Nick Jonas,dance pop,2015,93
305,Really Don't Care,Demi Lovato,dance pop,2015,121
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91
308,Heartbeat Song,Kelly Clarkson,dance pop,2015,149
309,Up,Olly Murs,dance pop,2015,115
310,Trumpets,Jason Derulo,dance pop,2015,82
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139
312,Same Old Love,Selena Gomez,dance pop,2015,98
313,I Want You To Know,Zedd,complextro,2015,130
314,Lips Are Movin,Meghan Trainor,dance pop,2015,139
315,I'll Show You,Justin Bieber,canadian pop,2015,192
316,Here,Alessia Cara,canadian contemporary r&b,2015,120
317,I Lived,OneRepublic,dance pop,2015,120
318,Fireball (feat. John Ryan),Pitbull,dance pop,2015,123
319,Easy Love,Sigala,dance pop,2015,124
320,The Feeling,Justin Bieber,canadian pop,2015,127
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122
322,BO$$,Fifth Harmony,dance pop,2015,103
323,Sugar,Maroon 5,pop,2015,120
324,Focus,Ariana Grande,dance pop,2015,100
325,All About That Bass,Meghan Trainor,dance pop,2015,134
326,On My Mind,Ellie Goulding,dance pop,2015,155
327,Love Me Like You,Little Mix,dance pop,2015,106
328,Broken Arrows,Avicii,big room,2015,116
329,Booty,Jennifer Lopez,dance pop,2015,129
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125
331,Mark My Words,Justin Bieber,canadian pop,2015,114
332,Lay It All on Me,Rudimental,dance pop,2015,123
333,American Oxygen,Rihanna,barbadian pop,2015,78
334,Bang Bang,Jessie J,australian pop,2015,150
335,Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122
336,Alive,Sia,australian dance,2015,100
337,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123
338,Been You,Justin Bieber,canadian pop,2015,113
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80
341,Heroes (we could be),Alesso,big room,2015,126
342,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156
343,Perfect,One Direction,boy band,2015,100
344,Ghosttown,Madonna,dance pop,2015,79
345,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108
346,Bloodstream,Ed Sheeran,pop,2015,89
347,Living For Love,Madonna,dance pop,2015,123
348,Baby Don't Lie,Gwen Stefani,dance pop,2015,100
349,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120
350,Steal My Girl,One Direction,boy band,2015,77
351,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127
352,We Are Here,Alicia Keys,hip pop,2015,93
353,St Jude,Florence + The Machine,art pop,2015,117
354,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128
355,Time of Our Lives,Pitbull,dance pop,2015,124
356,Sparks,Hilary Duff,dance pop,2015,122
357,Mr. Put It Down,Ricky Martin,dance pop,2015,128
358,Legendary Lovers,Katy Perry,dance pop,2015,126
359,Spark The Fire,Gwen Stefani,dance pop,2015,120
360,Run Run Run,Kelly Clarkson,dance pop,2015,112
361,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112
362,Dangerous,Jennifer Hudson,dance pop,2015,109
363,L.A.LOVE (la la),Fergie,dance pop,2015,202
364,The Hills,The Weeknd,canadian contemporary r&b,2016,113
365,Love Yourself,Justin Bieber,canadian pop,2016,100
366,Cake By The Ocean,DNCE,dance pop,2016,119
367,Don't Let Me Down,The Chainsmokers,electropop,2016,160
368,In the Name of Love,Martin Garrix,big room,2016,134
369,Into You,Ariana Grande,dance pop,2016,108
370,This Is What You Came For,Calvin Harris,dance pop,2016,124
371,Million Reasons,Lady Gaga,dance pop,2016,130
372,Needed Me,Rihanna,barbadian pop,2016,111
373,7 Years,Lukas Graham,danish pop,2016,120
374,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113
375,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105
376,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97
377,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108
378,Work,Rihanna,barbadian pop,2016,92
379,Stitches,Shawn Mendes,canadian pop,2016,150
380,"Me, Myself & I",G-Eazy,hip hop,2016,112
381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102
382,Dangerous Woman,Ariana Grande,dance pop,2016,134
383,Starving,Hailee Steinfeld,dance pop,2016,100
384,Shout Out to My Ex,Little Mix,dance pop,2016,126
385,Electric Love,B�RNS,electropop,2016,120
386,Confident,Demi Lovato,dance pop,2016,130
387,Too Good,Drake,canadian hip hop,2016,118
388,Roses,The Chainsmokers,electropop,2016,100
389,Cold Water (feat. Justin Bieber & M�),Major Lazer,dance pop,2016,93
390,Me Too,Meghan Trainor,dance pop,2016,124
391,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108
392,Ain't Your Mama,Jennifer Lopez,dance pop,2016,120
